iter	Passed	Remaining
398	74775	112631
399	74940	112410
400	75130	112227
401	75310	112029
402	75499	111843
403	75665	111625
404	75856	111444
405	76143	111402
406	76319	111197
407	76503	111005
408	76700	110830
409	76905	110668
410	77093	110482
411	77278	110290
412	77407	110019
413	77588	109823
414	77752	109602
415	77922	109391
416	78108	109202
417	78279	108992
418	78423	108745
419	78627	108580
420	78804	108379
421	79006	108212
422	79193	108024
423	79382	107839
424	79564	107645
425	79740	107444
426	79917	107242
427	80125	107082
428	80313	106897
429	80445	106637
430	80656	106481
431	80857	106312
432	81067	106154
433	81262	105978
434	81476	105825
435	81673	105651
436	81844	105442
437	82067	105301
438	82258	105119
439	82418	104896
440	82646	104760
441	82813	104547
442	83012	104374
443	83182	104165
444	83367	103975
445	83564	103799
446	83747	103606
447	83927	103410
448	84102	103208
449	84282	103011
450	84466	102821
451	84634	102609
452	84818	102419
453	85018	102246
454	85213	102068
455	85397	101877
456	85578	101683
457	85747	101474
458	85938	101291
459	86136	101116
460	86301	100903
461	86444	100664
462	86639	100487
463	86835	100309
464	87034	100136
465	87208	99934
466	87397	99749
467	87599	99579
468	87808	99416
469	88028	99266
470	88252	99120
471	88450	98944
472	88658	98779
473	88899	98652
474	89090	98468
475	89255	98256
476	89450	98076
477	89624	97874
478	89814	97689
479	89982	97480
480	90144	97266
481	90290	97034
482	90452	96819
483	90646	96639
484	90817	96435
485	91064	96310
486	91227	96098
487	91418	95914
488	91565	95684
489	91748	95493
490	91925	95295
491	92106	95101
492	92276	94896
493	92473	94720
494	92645	94517
495	92825	94322
496	92980	94103
497	93169	93917
498	93380	93755
499	93558	93558
500	93749	93375
501	93922	93174
502	94108	92985
503	94254	92758
504	94410	92540
505	94601	92358
506	94757	92140
507	94945	91954
508	95155	91790
509	95332	91593
510	95502	91391
511	95691	91206
512	95889	91029
513	96091	90857
514	96269	90661
515	96536	90549
516	96748	90385
517	96913	90178
518	97086	89978
519	97219	89741
520	97398	89546
521	97579	89354
522	97766	89167
523	97937	88966
524	98083	88742
525	98288	88571
526	98449	88361
527	98609	88150
528	98801	87968
529	98990	87783
530	99146	87569
531	99349	87397
532	99539	87214
533	99699	87004
534	99917	86844
535	100134	86683
536	100333	86507
537	100500	86303
538	100653	86088
539	100834	85896
540	100992	85684
541	101199	85515
542	101385	85328
543	101583	85150
544	101762	84957
545	101927	84753
546	102129	84578
547	102302	84381
548	102470	84179
549	102645	83982
550	102823	83789
551	103008	83601
552	103225	83439
553	103413	83253
554	103587	83056
555	103799	82890
556	103989	82706
557	104195	82534
558	104391	82355
559	104658	82231
560	104853	82051
561	105017	81846
562	105206	81660
563	105408	81485
564	105586	81292
565	105774	81106
566	105939	80903
567	106131	80720
568	106328	80540
569	106529	80364
570	106666	80139
571	106874	79968
572	107060	79781
573	107256	79601
574	107460	79427
575	107633	79229
576	107814	79039
577	107982	78838
578	108206	78678
579	108407	78501
580	108572	78299
581	108778	78126
582	108966	77939
583	109169	77764
584	109366	77584
585	109560	77402
586	109732	77205
587	109906	77009
588	110100	76827
589	110246	76612
590	110446	76433
591	110609	76230
592	110757	76017
593	110960	75841
594	111164	75666
595	111346	75476
596	111530	75287
597	111713	75098
598	111894	74907
599	112077	74718
600	112282	74543
601	112483	74366
602	112681	74186
603	112905	74024
604	113117	73853
605	113348	73695
606	113553	73519
607	113730	73326
608	113931	73148
609	114126	72965
610	114342	72797
611	114529	72610
612	114720	72425
613	114901	72234
614	115086	72045
615	115266	71854
616	115444	71661
617	115622	71468
618	115795	71273
619	115975	71081
620	116145	70883
621	116348	70706
622	116564	70537
623	116733	70339
624	116907	70144
625	117099	69960
626	117274	69765
627	117479	69589
628	117648	69391
629	117788	69177
630	117961	68982
631	118169	68807
632	118308	68592
633	118511	68415
634	118677	68215
635	118898	68049
636	119086	67862
637	119292	67686
638	119470	67494
639	119636	67295
640	119806	67099
641	119987	66908
642	120184	66727
643	120362	66536
644	120540	66343
645	120715	66150
646	120862	65941
647	121080	65771
648	121305	65605
649	121516	65431
650	121684	65234
651	121831	65026
652	122012	64836
653	122175	64637
654	122371	64455
655	122553	64265
656	122764	64091
657	122979	63919
658	123142	63720
659	123334	63536
660	123498	63337
661	123700	63158
662	123848	62951
663	124044	62769
664	124196	62565
665	124380	62377
666	124559	62186
667	124738	61995
668	124933	61813
669	125139	61635
670	125357	61464
671	125573	61292
672	125752	61101
673	125934	60911
674	126076	60703
675	126251	60511
676	126436	60323
677	126609	60129
678	126796	59943
679	126952	59742
680	127137	59554
681	127351	59381
682	127500	59176
683	127690	58991
684	127875	58804
685	128069	58620
686	128250	58431
687	128424	58239
688	128578	58037
689	128758	57847
690	128920	57650
691	129085	57454
692	129282	57272
693	129474	57088
694	129642	56893
695	129832	56708
696	130017	56521
697	130192	56329
698	130385	56145
699	130558	55953
700	130738	55764
701	130904	55569
702	131080	55378
703	131251	55185
704	131420	54991
705	131581	54794
706	131757	54603
707	131951	54420
708	132094	54216
709	132242	54014
710	132431	53829
711	132600	53636
712	132787	53450
713	132927	53245
714	133151	53074
715	133290	52869
716	133445	52670
717	133668	52499
718	133859	52315
719	134062	52135
720	134295	51967
721	134501	51788
722	134653	51589
723	134868	51414
724	135113	51249
725	135307	51066
726	135538	50896
727	135708	50704
728	135866	50507
729	136054	50321
730	136232	50131
731	136417	49945
732	136606	49759
733	136757	49560
734	136925	49367
735	137104	49178
736	137290	48992
737	137481	48807
738	137692	48630
739	137872	48441
740	138068	48258
741	138251	48071
742	138434	47883
