iter	Logloss
0	0.5912392927
1	0.5166843755
2	0.4565688764
3	0.4103752664
4	0.3762518441
5	0.3498837435
6	0.3320969305
7	0.3161142212
8	0.3031726758
9	0.2940105504
10	0.2855969941
11	0.2787858013
12	0.2733674249
13	0.2690993732
14	0.2655310096
15	0.2625203578
16	0.26046796
17	0.2587446522
18	0.2571961001
19	0.2553980424
20	0.2543223324
21	0.2533676617
22	0.2526595152
23	0.2519470549
24	0.2511712486
25	0.2504634313
26	0.2499261949
27	0.2496159191
28	0.2491160795
29	0.2485705984
30	0.2481400164
31	0.2478093725
32	0.2472753627
33	0.2469838936
34	0.2464497397
35	0.2459841876
36	0.2457452739
37	0.2454794703
38	0.245023891
39	0.2446642711
40	0.2443778931
41	0.2441671677
42	0.2439993316
43	0.2438337106
44	0.2436532514
45	0.2434452275
46	0.2432358623
47	0.2430662946
48	0.2428834444
49	0.2427542749
50	0.2425578861
51	0.2424115386
52	0.2422759523
53	0.2421088533
54	0.2419559624
55	0.2417349472
56	0.2416453087
57	0.2415640966
58	0.2415094076
59	0.2413336692
60	0.2412214947
61	0.2410867544
62	0.2410138023
63	0.2408933068
64	0.2407404526
65	0.2406843692
66	0.2405345285
67	0.2404093191
68	0.2403710711
69	0.2402591759
70	0.2401921898
71	0.240101034
72	0.2400105338
73	0.239906207
74	0.2398620271
75	0.239766697
76	0.2396977945
77	0.2396663203
78	0.2396296589
79	0.2395680793
80	0.2395407188
81	0.2394864891
82	0.2394530555
83	0.2393676971
84	0.2392836587
85	0.239113761
86	0.2389404109
87	0.2388238568
88	0.2388114745
89	0.2387321253
90	0.2386764894
91	0.2386447429
92	0.2385341609
93	0.2384511254
94	0.2382969383
95	0.2382309752
96	0.2381633703
97	0.2381325333
98	0.2380598405
99	0.2379995356
100	0.2379897482
101	0.237962639
102	0.2378511028
103	0.2377812896
104	0.2377290768
105	0.2377237363
106	0.2375836218
107	0.2375271052
108	0.2374040038
109	0.2372751362
110	0.2372004543
111	0.2371740032
112	0.2371188691
113	0.2370610959
114	0.2370022372
115	0.2369578267
116	0.2369474528
117	0.236931301
118	0.2368850683
119	0.2368326448
120	0.2367634667
121	0.2367564007
122	0.2367160954
123	0.2367009106
124	0.2366032355
125	0.236535544
126	0.2364817661
127	0.2363747125
128	0.2363504587
129	0.2362706311
130	0.2361622132
131	0.2360997381
132	0.2360500771
133	0.2360063702
134	0.2359515601
135	0.2359494143
136	0.2359357768
137	0.2358570211
138	0.2358373406
139	0.2358168876
140	0.2357765108
141	0.2357665811
142	0.2356852186
143	0.2356478901
144	0.2356348663
145	0.2356025573
146	0.2355626054
147	0.2355487145
148	0.235518514
149	0.235445288
150	0.235374186
151	0.2353223562
152	0.2352891962
153	0.2352774501
154	0.2352556806
155	0.2351717729
156	0.2351265906
157	0.2351036428
158	0.2350919356
159	0.2350383627
160	0.2350331527
161	0.2350170265
162	0.2348999311
163	0.2348317573
164	0.2348160295
165	0.234771627
166	0.2346729737
167	0.2346308153
168	0.234599882
169	0.2345806848
170	0.2345542721
171	0.234514724
172	0.2344774709
173	0.234454291
174	0.234406617
175	0.2343224697
176	0.2342775448
177	0.234219707
178	0.2341988597
179	0.2341774673
180	0.2341740728
181	0.2341376853
182	0.234079113
183	0.2340579684
184	0.2340390553
185	0.2339861489
186	0.233925074
187	0.2338793201
188	0.2338453608
189	0.2338203621
190	0.2337980495
191	0.2337781101
192	0.2337149464
193	0.2337130842
194	0.2336787968
195	0.2336748597
196	0.2336620675
197	0.2336446706
198	0.2336004814
199	0.2335572981
200	0.2334617936
201	0.2334421471
202	0.2333889566
203	0.2333675423
204	0.233351897
